DEPARTMENT,CUSTOMER_AGE_GROUP,VALUE_2007,BRAND,VAR_SP,VALUE_2008
DRY FOOD,19-24,23286,all,sales,28146
DRY FOOD,25-34,56763,all,sales,62667
DRY FOOD,35-44,90766,all,sales,108267
DRY FOOD,45-54,44688,all,sales,55955
DRY FOOD,65+,692,all,sales,769
FRESH FOOD,25-34,40667,all,sales,47661
FRESH FOOD,35-44,48392,all,sales,63005
FRESH FOOD,45-54,54794,all,sales,73154
FRESH FOOD,55-64,10088,all,sales,12264
FRESH FOOD,65+,3471,all,sales,4431
NON FOOD,25-34,227927,all,sales,322252
NON FOOD,35-44,14523,all,sales,19072
DRY FOOD,all,216195,all,sales,255805
FRESH FOOD,all,157411,all,sales,200515
NON FOOD,all,242450,all,sales,341323
DRY FOOD,19-24,18316,NATIONAL,sales,22395
DRY FOOD,19-24,4970,PRIVATE,sales,5751
DRY FOOD,25-34,24577,NATIONAL,sales,25183
DRY FOOD,25-34,32186,PRIVATE,sales,37485
DRY FOOD,35-44,27524,NATIONAL,sales,30829
DRY FOOD,35-44,63242,PRIVATE,sales,77437
DRY FOOD,45-54,12138,NATIONAL,sales,14898
DRY FOOD,45-54,32551,PRIVATE,sales,41057
DRY FOOD,65+,692,PRIVATE,sales,769
FRESH FOOD,25-34,40667,NATIONAL,sales,47661
FRESH FOOD,35-44,35272,NATIONAL,sales,45689
FRESH FOOD,35-44,13119,PRIVATE,sales,17316
FRESH FOOD,45-54,51043,NATIONAL,sales,68622
FRESH FOOD,45-54,3751,PRIVATE,sales,4533
FRESH FOOD,55-64,8545,NATIONAL,sales,10351
FRESH FOOD,55-64,1543,PRIVATE,sales,1912
FRESH FOOD,65+,3471,NATIONAL,sales,4431
NON FOOD,25-34,227927,PRIVATE,sales,322252
NON FOOD,35-44,14523,PRIVATE,sales,19072
DRY FOOD,all,82554,NATIONAL,sales,93305
DRY FOOD,all,133641,PRIVATE,sales,162499
FRESH FOOD,all,138998,NATIONAL,sales,176754
FRESH FOOD,all,18413,PRIVATE,sales,23761
NON FOOD,all,242450,PRIVATE,sales,341323
DRY FOOD,19-24,22379,all,profit,27059
DRY FOOD,25-34,54540,all,profit,60233
DRY FOOD,35-44,87216,all,profit,104053
DRY FOOD,45-54,42952,all,profit,53782
DRY FOOD,65+,668,all,profit,743
FRESH FOOD,25-34,39080,all,profit,45800
FRESH FOOD,35-44,46522,all,profit,60570
FRESH FOOD,45-54,52663,all,profit,70327
FRESH FOOD,55-64,9702,all,profit,11794
FRESH FOOD,65+,3337,all,profit,4260
NON FOOD,25-34,0,all,profit,0
NON FOOD,35-44,0,all,profit,0
DRY FOOD,all,207755,all,profit,245870
FRESH FOOD,all,151305,all,profit,192751
NON FOOD,all,0,all,profit,0
DRY FOOD,19-24,17603,NATIONAL,profit,21525
DRY FOOD,19-24,4777,PRIVATE,profit,5534
DRY FOOD,25-34,23614,NATIONAL,profit,24195
DRY FOOD,25-34,30926,PRIVATE,profit,36037
DRY FOOD,35-44,26451,NATIONAL,profit,29630
DRY FOOD,35-44,60765,PRIVATE,profit,74422
DRY FOOD,45-54,11674,NATIONAL,profit,14319
DRY FOOD,45-54,31278,PRIVATE,profit,39463
DRY FOOD,65+,668,PRIVATE,profit,743
FRESH FOOD,25-34,39080,NATIONAL,profit,45800
FRESH FOOD,35-44,33908,NATIONAL,profit,43919
FRESH FOOD,35-44,12614,PRIVATE,profit,16652
FRESH FOOD,45-54,49066,NATIONAL,profit,65976
FRESH FOOD,45-54,3598,PRIVATE,profit,4350
FRESH FOOD,55-64,8216,NATIONAL,profit,9954
FRESH FOOD,55-64,1485,PRIVATE,profit,1841
FRESH FOOD,65+,3337,NATIONAL,profit,4260
NON FOOD,25-34,0,PRIVATE,profit,0
NON FOOD,35-44,0,PRIVATE,profit,0
DRY FOOD,all,79342,NATIONAL,profit,89669
DRY FOOD,all,128413,PRIVATE,profit,156200
FRESH FOOD,all,133608,NATIONAL,profit,169908
FRESH FOOD,all,17697,PRIVATE,profit,22843
NON FOOD,all,0,PRIVATE,profit,0
